"fecha","mes","anio","servicio","tipo_pago","afluencia"
2022-04-27,"Abril",2022,"Sevicios Temporales","gratuidad",3257
2022-04-28,"Abril",2022,"Sevicios Temporales","boleto",14069
2022-04-28,"Abril",2022,"Sevicios Temporales","prepago",442
2022-04-28,"Abril",2022,"Sevicios Temporales","gratuidad",3260
2022-04-29,"Abril",2022,"Sevicios Temporales","boleto",13914
2022-04-29,"Abril",2022,"Sevicios Temporales","prepago",333
2022-04-29,"Abril",2022,"Sevicios Temporales","gratuidad",3228
2022-04-30,"Abril",2022,"Sevicios Temporales","boleto",6466
2022-04-30,"Abril",2022,"Sevicios Temporales","prepago",88
2022-04-30,"Abril",2022,"Sevicios Temporales","gratuidad",1500
2022-01-01,"Enero",2022,"Atenea","boleto",2702
2022-01-01,"Enero",2022,"Atenea","prepago",NA
2022-01-01,"Enero",2022,"Atenea","gratuidad",467
2022-01-02,"Enero",2022,"Atenea","boleto",2917
2022-01-02,"Enero",2022,"Atenea","prepago",NA
2022-01-02,"Enero",2022,"Atenea","gratuidad",504
2022-01-03,"Enero",2022,"Atenea","boleto",15258
2022-01-03,"Enero",2022,"Atenea","prepago",NA
2022-01-03,"Enero",2022,"Atenea","gratuidad",2638
2022-01-04,"Enero",2022,"Atenea","boleto",17538
2022-01-04,"Enero",2022,"Atenea","prepago",NA
2022-01-04,"Enero",2022,"Atenea","gratuidad",3032
2022-01-05,"Enero",2022,"Atenea","boleto",17494
2022-01-05,"Enero",2022,"Atenea","prepago",NA
2022-01-05,"Enero",2022,"Atenea","gratuidad",3024
2022-01-06,"Enero",2022,"Atenea","boleto",16117
2022-01-06,"Enero",2022,"Atenea","prepago",NA
2022-01-06,"Enero",2022,"Atenea","gratuidad",2786
2022-01-07,"Enero",2022,"Atenea","boleto",15874
2022-01-07,"Enero",2022,"Atenea","prepago",NA
2022-01-07,"Enero",2022,"Atenea","gratuidad",2744
2022-01-08,"Enero",2022,"Atenea","boleto",7871
2022-01-08,"Enero",2022,"Atenea","prepago",NA
2022-01-08,"Enero",2022,"Atenea","gratuidad",1361
2022-01-09,"Enero",2022,"Atenea","boleto",4101
2022-01-09,"Enero",2022,"Atenea","prepago",NA
2022-01-09,"Enero",2022,"Atenea","gratuidad",709
2022-01-10,"Enero",2022,"Atenea","boleto",16326
2022-01-10,"Enero",2022,"Atenea","prepago",NA
2022-01-10,"Enero",2022,"Atenea","gratuidad",2822
2022-01-11,"Enero",2022,"Atenea","boleto",16372
2022-01-11,"Enero",2022,"Atenea","prepago",NA
2022-01-11,"Enero",2022,"Atenea","gratuidad",2830
2022-01-12,"Enero",2022,"Atenea","boleto",17298
2022-01-12,"Enero",2022,"Atenea","prepago",NA
2022-01-12,"Enero",2022,"Atenea","gratuidad",2991
2022-01-13,"Enero",2022,"Atenea","boleto",15331
2022-01-13,"Enero",2022,"Atenea","prepago",NA
2022-01-13,"Enero",2022,"Atenea","gratuidad",2650
2022-01-14,"Enero",2022,"Atenea","boleto",15445
2022-01-14,"Enero",2022,"Atenea","prepago",NA
2022-01-14,"Enero",2022,"Atenea","gratuidad",2670
2022-01-15,"Enero",2022,"Atenea","boleto",6804
2022-01-15,"Enero",2022,"Atenea","prepago",NA
2022-01-15,"Enero",2022,"Atenea","gratuidad",1176
2022-01-16,"Enero",2022,"Atenea","boleto",3267
2022-01-16,"Enero",2022,"Atenea","prepago",NA
2022-01-16,"Enero",2022,"Atenea","gratuidad",565
2022-01-17,"Enero",2022,"Atenea","boleto",16156
2022-01-17,"Enero",2022,"Atenea","prepago",NA
2022-01-17,"Enero",2022,"Atenea","gratuidad",2793
2022-01-18,"Enero",2022,"Atenea","boleto",15380
2022-01-18,"Enero",2022,"Atenea","prepago",NA
2022-01-18,"Enero",2022,"Atenea","gratuidad",2659
2022-01-19,"Enero",2022,"Atenea","boleto",15557
2022-01-19,"Enero",2022,"Atenea","prepago",NA
2022-01-19,"Enero",2022,"Atenea","gratuidad",2690
2022-01-20,"Enero",2022,"Atenea","boleto",17853
2022-01-20,"Enero",2022,"Atenea","prepago",NA
